0,0,0
0,0,0
-6.8652e-16,7.1237,4.088
-6.7332e-16,6.9867,4.0094
0,0,0
0,0,0
8.4198e-16,-13.791,0.04057
237.54,97.61,237.27
-54.719,328.08,220.56
44.246,-117.49,12.62
15.494,-12.735,27.485
0.43435,-47.814,29.575
12.429,-39.746,14.095
13.948,-15.895,52.586
4.6596,-24.795,7.2835
8.5987,0.072038,-16.728
0,0,0
4.4004,-8.3443,-8.3809
18.316,-22.315,-22.126
30.22,-27.141,-55.036
35.717,-18.706,-55.503
44.929,-4.342,-74.162
62.926,-16.943,-77.847
26.204,-38.692,-124.41
54.251,-41.696,-45.11
45.959,-35.99,-40.422
39.254,-20.336,-76.445
28.075,-35.606,-62.677
28.121,-19.767,-59.193
35.62,-9.1456,-19.421
11.458,-16.664,-27.102
15.988,27.968,14.497
0,0,0
-6.725,1.8171,-20.588
-43.158,-1.8471,-38.664
-27.804,6.2761,38.756
-14.013,76.102,35.105
-34.626,57.757,73.998
-49.264,96.365,42.39
-47.185,90.066,55.377
-65.875,23.463,39.165
-63.098,74.353,22.58
-65.511,75.724,16.961
-84.445,83.354,-3.5803
-71.756,85.695,10.41
-54.493,31.609,17.261
-39.231,33.129,13.409
-0,0,0
